,id,movieName,rating,ten,nine,eight,seven,six,five,four,three,two,one
91,0052357,92.       Vertigo (1958),8.3,81896,88909,101192,55370,19529,8053,3566,1976,1306,3110
92,0022100,93.       M - Eine Stadt sucht einen Mörder (1931),8.3,31907,35805,37642,19442,7469,3703,1974,1102,896,3737
93,2106476,94.       Jagten (2012),8.3,43687,83083,95302,39661,10759,4079,1974,984,855,1935
94,0338013,95.       Eternal Sunshine of the Spotless Mind (2004),8.3,216540,241587,235017,122074,46122,19713,10038,6103,4563,10938
95,0033467,96.       Citizen Kane (1941),8.3,115265,87090,90822,52916,23732,12335,6354,4122,3208,8124
96,5074352,97.       Dangal (2016),8.3,50016,38997,36221,16314,5230,2485,1381,694,782,4747
97,0093058,98.       Full Metal Jacket (1987),8.2,112260,188126,220767,102338,29997,10426,4496,2447,1604,3530
98,0040522,99.       Ladri di biciclette (1948),8.2,32672,36103,39972,20819,7556,3685,1833,983,822,2280
99,0045152,100.       Singin' in the Rain (1952),8.2,55302,49657,56913,31688,12283,5478,2672,1397,1015,2867
100,0012349,101.       The Kid (1921),8.2,24216,26994,34560,15931,5331,2536,1315,536,490,1675
101,0208092,102.       Snatch (2000),8.2,153449,216082,239839,109732,34309,12536,5921,3215,2397,5392
102,0053125,103.       North by Northwest (1959),8.2,61159,76965,87920,44936,14540,5824,2670,1442,1117,2987
103,0066921,104.       A Clockwork Orange (1971),8.2,186962,191790,184399,99527,40402,19368,10588,7104,5665,12992
104,0086250,105.       Scarface (1983),8.2,162716,191264,216556,105638,35071,13242,6296,3666,2363,5156
105,8579674,106.       1917 (2019),8.2,77830,124619,131998,62208,19043,6204,2416,1382,890,2125
106,0091251,107.       Idi i smotri (1985),8.2,16501,13170,14186,7327,2896,1500,770,539,468,1968
107,0044741,108.       Ikiru (1952),8.2,17693,15381,17090,8720,3330,1755,888,564,592,2639
108,0075314,109.       Taxi Driver (1976),8.2,151391,183991,203748,110785,40286,16097,7108,4119,2821,5413
109,0435761,110.       Toy Story 3 (2010),8.2,165956,183773,210990,118670,42064,15966,6769,3800,2671,7221
110,1255953,111.       Incendies (2010),8.2,28304,43184,46093,19574,6009,2573,1233,826,739,1839
111,0056172,112.       Jodaeiye Nader az Simin (2011),8.2,69692,61010,65329,36754,15003,6927,3540,2027,1616,6555
112,1832382,113.       Lawrence of Arabia (1962),8.2,64695,52168,54595,27639,9193,4253,2105,1108,896,3679
113,0211915,114.       Amélie (2001),8.2,182138,178198,171399,93133,35315,15633,8094,5050,3930,11590
114,0070735,115.       The Sting (1973),8.2,45061,64601,75544,36041,10771,4188,1970,976,726,1936
115,0017136,116.       Metropolis (1927),8.2,38270,37100,40640,22002,9027,4686,2477,1405,1109,3526
116,0059578,117.       Per qualche dollaro in più (1965),8.2,38315,61741,80765,34868,9392,3481,1555,779,564,1678
117,0053604,118.       The Apartment (1960),8.2,32219,40155,49740,25135,8373,3528,1780,853,734,2107
118,0036775,119.       Double Indemnity (1944),8.2,28083,34899,42505,21541,7326,3364,1847,880,793,2523
119,0056592,120.       To Kill a Mockingbird (1962),8.2,65707,71997,82279,43563,15266,6388,2811,1514,1138,3446
120,1049413,121.       Up (2009),8.2,184453,242554,280385,146451,48476,16592,6730,3466,2388,5219
121,0097576,122.       Indiana Jones and the Last Crusade (1989),8.2,126132,170512,224518,112537,34182,12060,4909,2551,1734,3893
122,0113277,123.       Heat (1995),8.2,115485,146049,176686,89405,28898,10355,4130,2180,1439,3435
123,0119488,124.       L.A. Confidential (1997),8.2,87352,144516,171990,82864,25496,9302,4057,2145,1444,3428
124,0095016,125.       Die Hard (1988),8.2,142196,187874,259350,135561,40609,13787,5564,2894,1890,4183
125,6966692,126.       Green Book (2018),8.2,66567,109244,126228,53027,14470,4826,1846,903,669,1939
126,0071853,127.       Monty Python and the Holy Grail (1975),8.2,119900,123875,129646,70510,26541,11890,5976,3754,2733,6534
127,0372784,128.       Batman Begins (2005),8.2,242452,339127,430030,198107,55474,19066,8094,4306,3208,9807
128,0055630,129.       Yôjinbô (1961),8.2,21456,28049,33066,15417,5318,2613,1407,737,754,2672
129,0042876,130.       Rashômon (1950),8.2,33758,36263,40204,22627,8393,4162,2155,1134,1008,3135
130,0363163,131.       Der Untergang (2004),8.2,56891,88324,109130,50019,14200,5241,2389,1146,846,3507
131,0118849,132.       Bacheha-Ye aseman (1997),8.2,16033,15681,17914,8787,3035,1508,859,335,372,983
132,0105695,133.       Unforgiven (1992),8.2,67650,95085,117297,60403,19530,7103,3357,1648,1218,3125
133,0089881,134.       Ran (1985),8.2,26315,26798,29245,15494,5996,2981,1418,995,759,2710
134,0053291,135.       Some Like It Hot (1959),8.2,53931,55269,68758,39005,14105,5645,2570,1397,1074,2530
135,0347149,136.       Hauru no ugoku shiro (2004),8.2,75518,81149,98685,49937,16090,5625,2329,1373,1011,2969
136,0042192,137.       All About Eve (1950),8.2,27720,26787,32422,17872,6734,3491,1775,983,707,2223
137,0268978,138.       A Beautiful Mind (2001),8.2,147217,224338,285165,128433,38059,12898,5266,2919,1875,3889
138,0112641,139.       Casino (1995),8.2,78836,117564,157343,74540,22050,7748,2992,1727,1189,3005
139,0057115,140.       The Great Escape (1963),8.2,40815,56121,73210,35543,10541,3575,1357,880,640,2337
140,0993846,141.       The Wolf of Wall Street (2013),8.2,224672,316997,350745,176400,61461,24185,11339,7531,5576,11653
141,0457430,142.       Pan's Labyrinth (2006),8.2,127831,155806,168781,94309,36332,14527,6944,4169,2900,7622
142,1305806,143.       El secreto de sus ojos (2009),8.1,34974,51682,60657,29113,9071,3390,1369,830,625,1774
143,0469494,144.       There Will Be Blood (2007),8.1,113770,121815,137277,78270,32006,13624,6808,4280,3208,7148
144,0120735,"145.       Lock, Stock and Two Smoking Barrels (1998)",8.1,92524,138646,177573,82843,24252,8337,3595,2033,1748,4247
145,0096283,146.       Judgment at Nuremberg (1961),8.1,63897,67210,86183,46573,15439,5404,2135,1146,904,2945
146,0055031,147.       Tonari no Totoro (1988),8.1,12711,17062,21692,10444,3344,1453,558,396,320,1595
147,0081398,148.       Raging Bull (1980),8.1,64200,75553,95413,51367,18135,7318,3595,1956,1405,3356
148,0040897,149.       The Treasure of the Sierra Madre (1948),8.1,21845,26319,33704,18188,6575,2942,1520,778,645,1956
149,0046912,150.       Dial M for Murder (1954),8.1,21619,38276,59127,26393,7119,2576,996,666,531,1322
150,5027774,"151.       Three Billboards Outside Ebbing, Missouri (2017)",8.1,58404,120223,147659,70228,20806,7041,3219,2018,1449,2732
151,1130884,152.       Shutter Island (2010),8.1,198996,302616,362567,169573,56628,19446,8714,4710,3246,5388
152,0071315,153.       Chinatown (1974),8.1,55571,70073,88939,50302,16818,5959,2383,1256,871,2516
153,0015864,154.       The Gold Rush (1925),8.1,20460,21987,31407,15948,5390,2311,908,625,454,1764
154,0476735,155.       Babam ve Oglum (2005),8.1,29729,16318,15206,8363,3374,1783,1127,504,492,2189
155,0477348,156.       No Country for Old Men (2007),8.1,151754,218944,250863,132038,49601,21406,10161,6430,4904,12130
156,0434409,157.       V for Vendetta (2005),8.1,230846,256146,278604,155234,58966,23017,10337,6167,4371,10065
157,2096673,158.       Inside Out (2015),8.1,115355,153351,178618,103329,38406,13573,5437,2942,1860,4594
158,0080678,159.       The Elephant Man (1980),8.1,39336,51982,70435,36759,11963,4521,1936,956,642,1878
159,0050976,160.       Det sjunde inseglet (1957),8.1,40528,36030,41878,24187,9817,4837,2190,1372,1162,3274
160,0084787,161.       The Thing (1982),8.1,76589,81061,111355,62307,22297,8394,3553,1967,1279,2907
161,1291584,162.       Warrior (2011),8.1,85359,112885,133199,68276,21090,7113,2825,1478,1271,2910
162,0167404,163.       The Sixth Sense (1999),8.1,144522,228004,301554,152585,49689,16514,6968,3828,2882,5826
163,0117951,164.       Trainspotting (1996),8.1,110019,159525,202513,100223,33008,12349,5687,3475,2735,5778
164,0107290,165.       Jurassic Park (1993),8.1,156630,182934,285488,155687,51053,18390,7546,4162,2571,4114
165,4729430,166.       Klaus (2019),8.1,22342,26507,32731,16731,4508,1269,431,211,166,480
166,0120382,167.       The Truman Show (1998),8.1,142656,221897,326824,165118,50399,17139,6820,3727,2345,4261
167,0031381,168.       Gone with the Wind (1939),8.1,81246,57530,69002,40740,18307,8802,4581,3040,2313,4841
168,0266543,169.       Finding Nemo (2003),8.1,166554,214025,316194,168224,51869,16704,6219,3398,2355,5045
169,0050986,170.       Smultronstället (1957),8.1,20949,21242,27016,14592,5653,2545,1094,721,689,2089
170,0083658,171.       Stalker (1979),8.1,165684,157077,173132,105598,47099,20555,9699,5715,3797,6208
171,0079944,172.       Blade Runner (1982),8.1,35138,23536,25111,14810,6814,3829,2136,1555,1295,3009
172,0266697,173.       Kill Bill: Vol. 1 (2003),8.1,183977,240204,301392,151809,56009,24226,12349,8558,7097,16246
173,0353969,174.       Salinui chueok (2003),8.1,22821,34553,46888,22895,6783,2539,1025,621,470,1460
174,0116282,175.       Fargo (1996),8.1,99829,152340,196062,103467,35351,13001,5967,3588,2512,6106
175,0050212,176.       The Bridge on the River Kwai (1957),8.1,33846,48913,66407,34675,10693,3902,1566,966,787,1956
176,3170832,177.       Room (2015),8.1,54290,94686,128791,63958,18199,5836,2227,1305,872,2129
177,3011894,178.       Relatos salvajes (2014),8.1,27353,45040,61073,29313,8238,2800,1168,665,477,1278
178,1205489,179.       Gran Torino (2008),8.1,108530,187609,238889,121973,37143,12296,5264,3010,2115,4309
179,0041959,180.       The Third Man (1949),8.1,34803,35154,42342,25456,10176,4482,2162,1240,803,2321
180,0046438,181.       Tôkyô monogatari (1953),8.1,13030,10370,14050,7830,3078,1624,753,534,439,1587
181,0047296,182.       On the Waterfront (1954),8.1,27752,32215,42839,22872,8153,3231,1472,879,635,2274
182,0077416,183.       The Deer Hunter (1978),8.1,57979,75550,92591,49151,18056,7643,3769,2255,1581,3179
183,0107207,184.       In the Name of the Father (1993),8.1,22218,38766,57125,26229,7015,2473,1025,609,437,1203
184,0978762,185.       Mary and Max (2009),8.1,30536,40384,50178,25834,8654,3527,1553,1020,793,2149
185,2278388,186.       The Grand Budapest Hotel (2014),8.1,111617,183566,223247,115390,40750,15436,7007,4038,2849,4887
186,2267998,187.       Gone Girl (2014),8.1,113513,226025,297543,143175,44529,15413,6946,4215,2901,6781
187,0112471,188.       Before Sunrise (1995),8.1,54735,61067,82946,43594,15409,6334,2922,1616,1293,2805
188,0066763,189.       Anand (1971),8.1,12236,7767,4642,2119,930,547,275,218,237,1385
189,0264464,190.       Catch Me If You Can (2002),8.1,113635,193993,320075,148485,38016,11093,3876,1989,1281,2058
190,2119532,191.       Hacksaw Ridge (2016),8.1,84116,110964,133768,68803,21961,8095,3550,1786,1226,2623
191,0060827,192.       Persona (1966),8.1,25534,21285,25916,14888,6841,3240,1576,1097,828,2270
192,1392214,193.       Prisoners (2013),8.1,79571,152197,222669,103769,27075,8387,3232,1739,1149,2484
193,8108198,194.       Andhadhun (2018),8.1,23654,18798,15685,7561,2704,1070,480,318,279,1580
194,0077711,195.       Höstsonaten (1978),8.1,5417,6669,7924,3958,1421,574,335,234,221,263
195,0118715,196.       The Big Lebowski (1998),8.1,163498,160571,194977,118273,48554,20007,9432,5676,4281,8175
196,0015324,197.       Sherlock Jr. (1924),8.1,8435,9011,12448,6343,2341,1099,476,333,394,1245
197,0035446,198.       To Be or Not to Be (1942),8.1,6473,7020,8662,4176,1476,692,304,198,159,854
198,0892769,199.       The General (1926),8.1,123681,153200,215483,118195,35326,10838,3904,1961,1300,3680
199,0017925,200.       How to Train Your Dragon (2010),8.1,17268,17004,22803,12848,4715,2319,1043,727,624,1953
200,1950186,201.       Ford v Ferrari (2019),8.1,43856,75411,106911,47946,12071,3469,1077,572,465,945
201,0072684,202.       Barry Lyndon (1975),8.1,33979,30752,40826,24363,9480,4139,1942,1163,811,2669
202,2024544,203.       12 Years a Slave (2013),8.1,94634,161451,214867,107738,34569,12084,5019,2990,2233,5800
203,0116231,204.       Eskiya (1996),8.1,24619,13524,12261,6567,2524,1295,622,484,419,1901
204,0031679,205.       Mr. Smith Goes to Washington (1939),8.1,21262,24648,30291,17154,6263,2751,1248,851,647,2016
205,2948372,206.       Soul (2020),8.1,33999,40543,50979,27091,8810,2672,1068,579,396,1030
206,1392190,207.       Mad Max: Fury Road (2015),8.1,175118,210539,233654,137953,58959,26135,13252,8706,6363,12800
207,0405159,208.       Million Dollar Baby (2004),8.1,97659,152992,211087,107829,35385,13252,6061,3414,2467,6490
208,0097165,209.       Dead Poets Society (1989),8.1,77453,96031,139540,71133,23527,8871,3920,2120,1396,2294
209,0074958,210.       Network (1976),8.1,27918,31353,42591,25254,9248,3631,1567,843,583,2082
210,0092005,211.       Stand by Me (1986),8.1,66586,79365,120656,64805,19498,6383,2307,1173,841,2166
211,1201607,212.       Harry Potter and the Deathly Hallows: Part 2 (2011),8.1,183540,159126,212063,123815,44972,17413,7134,4188,3104,10225
212,0052618,213.       Ben-Hur (1959),8.1,45168,45798,64658,36416,13758,5853,2548,1571,1241,2713
213,1028532,214.       Hachi: A Dog's Tale (2009),8.1,66129,52881,68305,39739,14593,5633,2234,1333,972,2127
214,0061512,215.       Cool Hand Luke (1967),8.1,28473,37632,51925,27749,9014,3271,1348,737,527,1517
215,0091763,216.       Ah-ga-ssi (2016),8.0,54976,89948,134722,66202,20182,7021,2922,1621,1228,2819
216,4016934,217.       Platoon (1986),8.0,17372,28457,38338,18916,5773,2180,954,577,411,1128
217,3315342,218.       Logan (2017),8.0,133529,156091,184073,106833,38859,13708,5950,3178,2173,4482
218,0758758,219.       Into the Wild (2007),8.0,115903,139115,161250,90584,33537,13651,6267,3832,2874,6604
219,1979320,220.       Rush (2013),8.0,63160,108373,153349,76638,19886,5918,2123,1066,820,1965
220,0046268,221.       Le salaire de la peur (1953),8.0,10107,12167,15950,8459,2871,1464,600,427,450,2185
221,0079470,222.       Life of Brian (1979),8.0,69560,83973,108470,61751,22781,9059,4019,2269,1718,4086
222,0113247,223.       La haine (1995),8.0,26618,36174,47705,24143,7596,3093,1335,838,674,2466
223,0053198,224.       Les quatre cents coups (1959),8.0,21586,22031,30542,17168,6303,2705,1222,745,632,2558
224,1895587,225.       Spotlight (2015),8.0,51144,104244,154221,77267,21228,6619,2262,1158,823,2102
225,0019254,226.       La passion de Jeanne d'Arc (1928),8.0,12903,8308,11219,6678,2849,1674,885,664,578,2069
226,0395169,227.       Hotel Rwanda (2004),8.0,49513,82341,117652,57033,15430,5024,1982,1161,945,3535
227,0245712,228.       Dom za vesanje (1988),8.0,33721,55977,75370,36144,11227,4250,1846,1128,1066,3210
228,0097223,229.       Amores perros (2000),8.0,7021,6367,7009,3387,1189,518,257,128,150,519
229,1954470,230.       Gangs of Wasseypur (2012),8.0,30552,21151,14686,6705,2588,1531,731,544,618,3415
230,0075148,231.       Rocky (1976),8.0,95817,105968,171112,94604,29595,10458,3999,2341,1623,3691
231,0198781,"232.       Monsters, Inc. (2001)",8.0,127710,170423,292831,153518,45268,13841,5068,2601,1773,3454
232,0060107,233.       Andrei Rublev (1966),8.0,14359,8332,10379,6231,2564,1535,844,589,526,1734
233,0087544,234.       Kaze no tani no Naushika (1984),8.0,29279,34040,45894,25363,8389,3238,1295,821,696,2182
234,0032976,235.       Rebecca (1940),8.0,22635,27498,38455,21013,7346,2874,1175,725,565,1822
235,0405508,236.       Rang De Basanti (2006),8.0,36934,28163,22281,10776,4376,2350,1243,912,957,4081
236,0381681,237.       Before Sunset (2004),8.0,46628,50152,71375,39112,14170,5733,2659,1674,1325,3827
237,0048021,238.       Du rififi chez les hommes (1955),8.0,5108,6776,8867,4252,1541,612,274,185,147,1185
238,0118694,239.       Fa yeung nin wah (2000),8.0,27717,27195,33759,19332,7680,3365,1708,1018,765,2088
239,0087884,"240.       Paris, Texas (1984)",8.0,17970,19165,27410,15357,5707,2514,1187,662,439,1015
240,8613070,241.       Portrait de la jeune fille en feu (2019),8.0,13011,15446,17028,9965,4041,1579,761,466,337,1011
241,0025316,242.       It Happened One Night (1934),8.0,18169,19718,28496,15899,5596,2438,991,628,563,1687
242,4857264,243.       Contratiempo (2016),8.0,25265,35461,47958,23044,6415,1981,770,403,264,632
243,5323662,244.       Koe no katachi (2016),8.0,12691,11485,12162,6902,2683,993,443,236,161,382
244,4430212,245.       Drishyam (2015),8.0,23527,18491,14718,6466,2289,1223,608,408,500,2340
245,1454029,246.       La battaglia di Algeri (1966),8.0,73464,99692,144920,72405,21568,7507,3036,1657,1207,3567
246,0058946,247.       The Help (2011),8.0,11465,11483,14496,7704,2955,1469,589,420,379,2239
247,2991224,248.       Mandariinid (2013),8.0,11968,8630,11245,5710,1550,558,210,125,130,401
248,0169858,249.       Trois couleurs: Rouge (1994),8.0,11972,8314,8828,4494,2043,1085,586,372,342,981
249,0111495,"250.       Swades: We, the People (2004)",8.0,17876,19800,27531,14492,5022,2165,975,597,515,1963
